geometry,congestion_bucket,observations,wins,rounds,mean_miners,mean_miner_share,mean_rank,win_rate,lift_vs_uniform,win_rate_ci95_lower,win_rate_ci95_upper
corner,q3,502,27,328,138.40438247011951,0.039998843193775446,12.50996015936255,0.053784860557768925,1.344621513944223,0.037224393321710056,0.0771226176084423
edge,q1_least,1339,52,437,134.35026138909635,0.038539741576282795,3.0866318147871548,0.038834951456310676,0.9708737864077669,0.029736863193460875,0.05057154411130188
edge,q4,669,25,367,139.60388639760836,0.04048740817766672,17.48579970104634,0.03736920777279522,0.9342301943198804,0.02543807063498188,0.05458294786031623
edge,q5_most,1097,48,437,143.73290793072016,0.041484485585441176,22.953509571558797,0.04375569735642662,1.0938924339106655,0.033160004271371765,0.05753557956651528
corner,q4,570,33,359,140.4701754385965,0.040524429164140965,17.442105263157895,0.05789473684210526,1.4473684210526316,0.041518206652074285,0.08019042514358897
edge,q3,917,33,407,137.94983642311885,0.039983291612288946,12.449291166848418,0.03598691384950927,0.8996728462377318,0.02573778531043694,0.050107473557619325
interior,q3,755,34,390,138.88476821192052,0.039997271454442755,13.11523178807947,0.045033112582781455,1.1258278145695364,0.03240282232124362,0.06226973145875415
interior,q2,669,25,384,136.27653213751867,0.03940171505960941,7.656203288490284,0.03736920777279522,0.9342301943198804,0.02543807063498188,0.05458294786031623
interior,q4,841,37,396,140.4090368608799,0.04052381798896302,17.87871581450654,0.04399524375743163,1.0998810939357906,0.0320850215046421,0.06005233516503679
center,q3,55,1,55,141.07272727272726,0.04009502001063426,13.709090909090909,0.01818181818181818,0.45454545454545453,0.003216780454841077,0.09605776062162397
interior,q1_least,708,22,416,131.569209039548,0.038403197309632424,2.6271186440677967,0.031073446327683617,0.7768361581920904,0.020608580797926733,0.046599444567655295
corner,q5_most,420,17,313,142.1547619047619,0.04135144151979866,23.02857142857143,0.04047619047619048,1.0119047619047619,0.025422559673639922,0.0638595481361648
edge,q2,1222,39,430,135.79459901800328,0.03939188166086313,7.701309328968904,0.031914893617021274,0.7978723404255318,0.023433255021783325,0.043330238929081
corner,q2,233,10,196,138.18884120171674,0.039504467581178114,8.15450643776824,0.04291845493562232,1.0729613733905579,0.023476875474258904,0.07718733652396143
center,q4,119,9,119,140.8403361344538,0.040586497636355176,18.45378151260504,0.07563025210084033,1.8907563025210083,0.04029724166083566,0.13750477266215505
interior,q5_most,523,13,347,144.40726577437857,0.04135305750371185,22.317399617590823,0.0248565965583174,0.621414913957935,0.01458285595113418,0.04205934317930747
center,q2,18,0,18,139.11111111111111,0.03956579125611931,7.722222222222222,0.0,0.0,0.0,0.17587922364665765
center,q5_most,245,11,245,142.465306122449,0.041425658393440895,22.922448979591838,0.044897959183673466,1.1224489795918366,0.02525246327555531,0.07859461648021207
corner,q1_least,23,1,21,133.0,0.038993925738405176,4.173913043478261,0.043478260869565216,1.0869565217391304,0.007716666143453149,0.20991155070258877
