feature,correlation_with_won,absolute_correlation,non_null_rows
orthogonal_neighbor_count,-0.015776409877731882,0.015776409877731882,10925
miner_rank_descending,-0.014250626287861149,0.014250626287861149,10925
miner_rank_ascending,0.014185850713825365,0.014185850713825365,10925
orthogonal_neighbor_miners,-0.013564920330420805,0.013564920330420805,10925
miner_share,0.01097329920301688,0.01097329920301688,10925
board_column,-0.008917881732334062,0.008917881732334062,10925
square_index,-0.00822649790253798,0.00822649790253798,10925
board_row,-0.006605838320247456,0.006605838320247456,10925
distance_from_center,0.006574824949241828,0.006574824949241828,10925
is_bottom4_miners,-0.006268713340051163,0.006268713340051163,10925
miner_count,0.004311465230138699,0.004311465230138699,10925
is_top4_miners,0.0026501877535175323,0.0026501877535175323,10925
orthogonal_neighbor_mean_miners,-0.0014816720088111433,0.0014816720088111433,10925
total_board_miners,3.260818371074614e-16,3.260818371074614e-16,10925
exact_slot_match,-1.644709122218721e-17,1.644709122218721e-17,10925
actual_slots_remaining,1.1254398230970187e-17,1.1254398230970187e-17,10925
replay_slot_distance,6.349040346618225e-18,6.349040346618225e-18,10925
is_empty,,,10925
round_motherlode_raw,,,10925
