feature,correlation_with_won,absolute_correlation,non_null_rows
miner_rank_ascending,-0.0037072333526376572,0.0037072333526376572,22525
miner_share,-0.0033841676554747188,0.0033841676554747188,22525
miner_rank_descending,0.0031103059483994257,0.0031103059483994257,22525
orthogonal_neighbor_mean_miners,0.0029805359542851868,0.0029805359542851868,22525
is_bottom4_miners,-0.002570770362457674,0.002570770362457674,22525
is_top4_miners,-0.0025707703624576663,0.0025707703624576663,22525
board_row,-0.002242759092301541,0.002242759092301541,22525
board_column,0.0022427590923015366,0.0022427590923015366,22525
square_index,-0.0017593649809127545,0.0017593649809127545,22525
orthogonal_neighbor_miners,0.001530366223153859,0.001530366223153859,22525
miner_count,-0.0012991596601079813,0.0012991596601079813,22525
orthogonal_neighbor_count,0.0009156025653543964,0.0009156025653543964,22525
distance_from_center,0.0004677003565212629,0.0004677003565212629,22525
actual_slots_remaining,-4.815706784235217e-17,4.815706784235217e-17,22525
replay_slot_distance,-4.265825698295581e-17,4.265825698295581e-17,22525
exact_slot_match,3.6130153702796805e-17,3.6130153702796805e-17,22525
total_board_miners,6.736077601149998e-18,6.736077601149998e-18,22525
is_empty,,,22525
round_motherlode_raw,,,22525
