square_index,board_row,board_column,wins,win_rate,win_rate_lift_vs_uniform,mean_miners,mean_miner_share
0,0,0,30,0.033296337402885685,0.8324084350721421,140.82907880133186,0.040184061685541686
1,0,1,41,0.04550499445061043,1.1376248612652609,137.2819089900111,0.03917497747333267
2,0,2,30,0.033296337402885685,0.8324084350721421,143.41509433962264,0.04091980992849972
3,0,3,45,0.049944506104328525,1.248612652608213,141.00221975582687,0.040230297787280836
4,0,4,34,0.03773584905660377,0.9433962264150942,138.842397336293,0.03962835371900612
5,1,0,41,0.04550499445061043,1.1376248612652609,139.41953385127636,0.03978196805639084
6,1,1,30,0.033296337402885685,0.8324084350721421,138.63817980022196,0.039565503407726674
7,1,2,33,0.03662597114317425,0.9156492785793563,138.03329633740287,0.03938289401656176
8,1,3,39,0.04328523862375139,1.0821309655937847,143.0033296337403,0.0408052121205446
9,1,4,36,0.03995560488346282,0.9988901220865706,137.15205327413983,0.03913209352680657
10,2,0,44,0.048834628190899,1.2208657047724751,143.6126526082131,0.04098559031554382
11,2,1,35,0.038845726970033294,0.9711431742508323,143.48612652608213,0.040943884974263885
12,2,2,35,0.038845726970033294,0.9711431742508323,143.98446170921198,0.04108646638834996
13,2,3,33,0.03662597114317425,0.9156492785793563,136.76137624861266,0.039021781968569424
14,2,4,33,0.03662597114317425,0.9156492785793563,138.83018867924528,0.039613406645455006
15,3,0,34,0.03773584905660377,0.9433962264150942,141.58712541620423,0.040396356034533835
16,3,1,34,0.03773584905660377,0.9433962264150942,141.30743618201998,0.04032667801679615
17,3,2,44,0.048834628190899,1.2208657047724751,142.45726970033297,0.040645340878037145
18,3,3,36,0.03995560488346282,0.9988901220865706,141.3196448390677,0.040320596103850616
19,3,4,51,0.05660377358490566,1.4150943396226414,137.2941176470588,0.03916888618979642
20,4,0,37,0.041065482796892344,1.0266370699223086,140.01664816870144,0.039950381962851576
21,4,1,31,0.03440621531631521,0.8601553829078802,137.56825749167592,0.03925277861399004
22,4,2,34,0.03773584905660377,0.9433962264150942,141.1509433962264,0.0402784294870053
23,4,3,26,0.02885682574916759,0.7214206437291898,135.5937846836848,0.03869364687455014
24,4,4,35,0.038845726970033294,0.9711431742508323,141.96004439511654,0.040510603824714046
