feature,correlation_with_won,absolute_correlation,non_null_rows
miner_rank_ascending,-0.0053662418679838834,0.0053662418679838834,21100
miner_share,-0.00536557916285221,0.00536557916285221,21100
miner_rank_descending,0.00422591547103731,0.00422591547103731,21100
is_top4_miners,-0.003984641343678543,0.003984641343678543,21100
orthogonal_neighbor_mean_miners,0.0035115796160092964,0.0035115796160092964,21100
distance_from_center,0.0032078310994069744,0.0032078310994069744,21100
miner_count,-0.0025456462415697195,0.0025456462415697195,21100
board_row,-0.002223208974960051,0.002223208974960051,21100
board_column,0.0020521928999631856,0.0020521928999631856,21100
square_index,-0.0017775676187696664,0.0017775676187696664,21100
is_bottom4_miners,-0.000686097185004241,0.000686097185004241,21100
orthogonal_neighbor_count,-0.0006283531823340132,0.0006283531823340132,21100
orthogonal_neighbor_miners,4.452075238884513e-05,4.452075238884513e-05,21100
total_board_miners,-4.629615210284057e-17,4.629615210284057e-17,21100
replay_slot_distance,-3.665664836755207e-17,3.665664836755207e-17,21100
exact_slot_match,3.106689401974975e-17,3.106689401974975e-17,21100
actual_slots_remaining,-2.3240812783362687e-17,2.3240812783362687e-17,21100
is_empty,,,21100
round_motherlode_raw,,,21100
