column,missing_rows,total_rows,missing_rate
average_sol_per_miner_raw,21100,21100,1.0
orthogonal_neighbor_mean_sol_raw,21100,21100,1.0
orthogonal_neighbor_sol_raw,21100,21100,1.0
sol_share,21100,21100,1.0
square_sol_raw,21100,21100,1.0
total_board_sol_raw,21100,21100,1.0
actual_slots_remaining,0,21100,0.0
board_column,0,21100,0.0
board_row,0,21100,0.0
dataset_version,0,21100,0.0
distance_from_center,0,21100,0.0
end_slot,0,21100,0.0
exact_slot_match,0,21100,0.0
feature_version,0,21100,0.0
is_bottom4_miners,0,21100,0.0
is_center,0,21100,0.0
is_corner,0,21100,0.0
is_edge,0,21100,0.0
is_empty,0,21100,0.0
is_top4_miners,0,21100,0.0
miner_count,0,21100,0.0
miner_rank_ascending,0,21100,0.0
miner_rank_descending,0,21100,0.0
miner_share,0,21100,0.0
observed_at_utc,0,21100,0.0
orthogonal_neighbor_count,0,21100,0.0
orthogonal_neighbor_mean_miners,0,21100,0.0
orthogonal_neighbor_miners,0,21100,0.0
replay_slot_distance,0,21100,0.0
requested_slots_remaining,0,21100,0.0
round_id,0,21100,0.0
round_motherlode_raw,0,21100,0.0
rpc_slot,0,21100,0.0
schema_version,0,21100,0.0
source_file,0,21100,0.0
source_line_number,0,21100,0.0
square_index,0,21100,0.0
start_slot,0,21100,0.0
total_board_miners,0,21100,0.0
winning_square,0,21100,0.0
won,0,21100,0.0
