square_index,board_row,board_column,rounds_observed,wins,win_rate,mean_miners,median_miners,min_miners,max_miners,mean_miner_share,mean_rank_ascending,bottom4_rate,top4_rate,empty_rate,mean_neighbor_miners,mean_distance_from_center,is_corner,is_edge,is_center,expected_wins_uniform,win_rate_lift_vs_uniform,wins_minus_uniform
0,0,0,844,28,0.03317535545023697,141.03554502369667,141.0,125,154,0.04018887973511139,13.216824644549764,0.045023696682464455,0.11374407582938388,0.0,138.52251184834122,2.8284271247461903,True,False,False,33.76,0.8293838862559242,-5.759999999999998
1,0,1,844,38,0.045023696682464455,137.5260663507109,138.0,120,151,0.03919078786563196,5.017772511848341,0.5118483412322274,0.0,0.0,141.0501579778831,2.23606797749979,False,True,False,33.76,1.1255924170616114,4.240000000000002
2,0,2,844,30,0.035545023696682464,143.44549763033174,144.0,127,158,0.04087208533540969,19.58175355450237,0.0,0.5367298578199052,0.0,139.02843601895734,2.0,False,True,False,33.76,0.8886255924170616,-3.759999999999998
3,0,3,844,43,0.0509478672985782,141.25829383886256,142.0,125,156,0.04024924088596108,14.419431279620854,0.02014218009478673,0.11611374407582939,0.0,141.85189573459715,2.23606797749979,False,True,False,33.76,1.2736966824644549,9.240000000000002
4,0,4,844,30,0.035545023696682464,138.8850710900474,139.0,125,152,0.039585534931354104,9.268957345971565,0.24052132701421802,0.02843601895734597,0.0,139.28080568720378,2.8284271247461903,True,False,False,33.76,0.8886255924170616,-3.759999999999998
5,1,0,844,38,0.045023696682464455,139.51895734597156,140.0,125,155,0.03975553867067159,10.063981042654028,0.08293838862559241,0.009478672985781991,0.0,141.16271721958924,2.23606797749979,False,True,False,33.76,1.1255924170616114,4.240000000000002
6,1,1,844,28,0.03317535545023697,138.66943127962085,138.0,123,155,0.03951995223028921,8.330568720379146,0.273696682464455,0.009478672985781991,0.0,139.74763033175356,1.4142135623730951,False,False,False,33.76,0.8293838862559242,-5.759999999999998
7,1,2,844,30,0.035545023696682464,138.3009478672986,138.0,123,155,0.03940627984647843,7.444312796208531,0.2677725118483412,0.0035545023696682463,0.0,142.385663507109,1.0,False,False,False,33.76,0.8886255924170616,-3.759999999999998
8,1,3,844,36,0.04265402843601896,143.22511848341233,143.0,129,160,0.04081238062329827,19.4478672985782,0.0,0.4703791469194313,0.0,138.4997037914692,1.4142135623730951,False,False,False,33.76,1.066350710900474,2.240000000000002
9,1,4,844,35,0.041469194312796206,137.30331753554503,138.0,121,152,0.03912043353275822,5.708530805687204,0.4585308056872038,0.0,0.0,140.37598736176935,2.23606797749979,False,True,False,33.76,1.0367298578199051,1.240000000000002
10,2,0,844,43,0.0509478672985782,143.78317535545023,144.0,130,157,0.040976769456747934,21.018957345971565,0.0,0.5853080568720379,0.0,141.67338072669827,2.0,False,True,False,33.76,1.2736966824644549,9.240000000000002
11,2,1,844,33,0.03909952606635071,143.64454976303318,144.0,127,157,0.04093278861402863,20.56872037914692,0.0035545023696682463,0.509478672985782,0.0,142.0417654028436,1.0,False,False,False,33.76,0.9774881516587678,-0.759999999999998
12,2,2,844,29,0.034360189573459717,144.20260663507108,144.0,130,159,0.041091984042927646,21.968009478672986,0.0,0.6172985781990521,0.0,140.48281990521326,0.0,False,False,True,33.76,0.8590047393364929,-4.759999999999998
13,2,3,844,32,0.037914691943127965,137.13625592417063,137.0,123,153,0.039077913617383754,5.483412322274882,0.48104265402843605,0.002369668246445498,0.0,142.03021327014218,1.0,False,False,False,33.76,0.9478672985781991,-1.759999999999998
14,2,4,844,32,0.037914691943127965,139.01777251184834,139.0,123,153,0.03961456934501822,9.468009478672986,0.14336492890995262,0.002369668246445498,0.0,137.33451816745654,2.0,False,True,False,33.76,0.9478672985781991,-1.759999999999998
15,3,0,844,32,0.037914691943127965,141.85663507109004,142.0,126,157,0.04041885104681271,17.001184834123222,0.002369668246445498,0.1848341232227488,0.0,141.8021327014218,2.23606797749979,False,True,False,33.76,0.9478672985781991,-1.759999999999998
16,3,1,844,32,0.037914691943127965,141.51184834123222,141.0,126,157,0.040330870085916876,16.177725118483412,0.005924170616113744,0.13270142180094788,0.0,141.54531990521326,1.4142135623730951,False,False,False,33.76,0.9478672985781991,-1.759999999999998
17,3,2,844,42,0.04976303317535545,142.8495260663507,143.0,125,161,0.0407040163249068,18.683649289099527,0.005924170616113744,0.33886255924170616,0.0,142.12944312796208,1.0,False,False,False,33.76,1.2440758293838863,8.240000000000002
18,3,3,844,32,0.037914691943127965,141.67535545023696,142.0,124,155,0.04036950162069691,16.505924170616115,0.06398104265402843,0.13151658767772512,0.0,138.3379739336493,1.4142135623730951,False,False,False,33.76,0.9478672985781991,-1.759999999999998
19,3,4,844,48,0.05687203791469194,137.56398104265404,138.0,121,155,0.039193091142862395,6.767772511848341,0.34360189573459715,0.001184834123222749,0.0,140.90955766192732,2.23606797749979,False,True,False,33.76,1.4218009478672984,14.240000000000002
20,4,0,844,36,0.04265402843601896,140.11137440758293,140.0,125,153,0.03992371009607124,13.065165876777252,0.041469194312796206,0.009478672985781991,0.0,139.8436018957346,2.8284271247461903,True,False,False,33.76,1.066350710900474,2.240000000000002
21,4,1,844,28,0.03317535545023697,137.83056872037915,138.0,122,157,0.03927418761790268,7.930094786729858,0.3187203791469194,0.002369668246445498,0.0,140.9170616113744,2.23606797749979,False,True,False,33.76,0.8293838862559242,-5.759999999999998
22,4,2,844,30,0.035545023696682464,141.12796208530807,141.0,126,157,0.04021713664847052,15.941943127962086,0.005924170616113744,0.04976303317535545,0.0,138.8274091627172,2.0,False,True,False,33.76,0.8886255924170616,-3.759999999999998
23,4,3,844,26,0.030805687203791468,135.8021327014218,136.0,123,151,0.03869953274531541,3.8199052132701423,0.6800947867298578,0.0,0.0,141.6129541864139,2.23606797749979,False,True,False,33.76,0.7701421800947866,-7.759999999999998
24,4,4,844,33,0.03909952606635071,142.03554502369667,142.0,125,156,0.040473963937973194,18.099526066350712,0.0035545023696682463,0.14454976303317535,0.0,136.68305687203792,2.8284271247461903,True,False,False,33.76,0.9774881516587678,-0.759999999999998
