geometry,congestion_bucket,observations,wins,rounds,mean_miners,mean_miner_share,mean_rank,win_rate,lift_vs_uniform,win_rate_ci95_lower,win_rate_ci95_upper
corner,q1_least,312,7,270,137.15384615384616,0.03865163814926677,2.625,0.022435897435897436,0.5608974358974359,0.01090954109918416,0.04557911269348615
edge,q2,2513,127,885,138.10306406685237,0.0394276296948492,7.736569836848388,0.050537206526064464,1.2634301631516116,0.042637918400767354,0.0598085260969762
edge,q3,2035,77,859,140.25307125307125,0.039984401157122734,12.666830466830467,0.03783783783783784,0.9459459459459459,0.030380803933975332,0.0470364263944646
edge,q5_most,1703,70,874,144.29007633587787,0.04116542404618046,22.49148561362302,0.041103934233705224,1.0275983558426305,0.03266183904740892,0.051611634670576764
corner,q5_most,421,12,357,143.40380047505937,0.04113523546584802,22.688836104513065,0.028503562945368172,0.7125890736342043,0.016379029921594433,0.049154731538453456
edge,q1_least,2767,99,901,135.4730755330683,0.03871314562097928,3.0130104806649802,0.03577882182869534,0.8944705457173834,0.029476711427850365,0.04336811272408811
interior,q2,1324,46,762,138.4607250755287,0.0394425027791432,7.639728096676738,0.03474320241691843,0.8685800604229608,0.02614776610724913,0.04603062400403307
interior,q4,1540,61,788,141.87857142857143,0.040530925335823115,17.98766233766234,0.03961038961038961,0.9902597402597402,0.030959589598188307,0.05055231572194838
interior,q3,1342,64,770,140.2377049180328,0.039996642333179455,12.799552906110284,0.04769001490312966,1.1922503725782414,0.037522537462999314,0.060439564950030375
center,q4,202,10,202,141.52475247524754,0.04057725971994602,18.415841584158414,0.04950495049504951,1.2376237623762376,0.02710930357732345,0.08871507386970055
interior,q1_least,1160,45,761,135.675,0.038753097697648696,2.875,0.03879310344827586,0.9698275862068966,0.029117472862537033,0.051513319338131344
corner,q2,710,32,556,138.33661971830986,0.039487115771575446,8.016901408450705,0.04507042253521127,1.1267605633802817,0.03210418315261079,0.06293296827982632
edge,q4,1794,73,830,142.22017837235228,0.04050678050111711,17.637123745819398,0.04069119286510591,1.0172798216276477,0.03248726568725553,0.050857935907429916
interior,q5_most,1842,68,867,144.53528773072748,0.04123948327472805,23.005971769815417,0.03691639522258415,0.9229098805646038,0.029224454972860716,0.04653582126995305
center,q5_most,669,24,669,144.84902840059792,0.04128556066596389,23.255605381165918,0.03587443946188341,0.8968609865470851,0.02422420166558463,0.05282434839189537
corner,q3,1129,52,711,140.15411868910542,0.040026918077686685,12.991142604074403,0.046058458813108945,1.1514614703277235,0.03529493247939128,0.059900611416891264
corner,q4,1032,33,680,141.88662790697674,0.040506634237281125,17.648255813953487,0.03197674418604651,0.7994186046511628,0.02285850672528615,0.044566346977913424
center,q3,27,1,27,141.22222222222223,0.040117582375621255,13.703703703703704,0.037037037037037035,0.9259259259259258,0.006568145980785103,0.18283465933575843
center,q2,3,0,3,141.66666666666666,0.03969498093420137,9.666666666666666,0.0,0.0,5.551115123125783e-17,0.5614970317550454
