geometry,rank_group,observations,wins,rounds,mean_miners,mean_miner_share,mean_rank,win_rate,lift_vs_uniform,win_rate_ci95_lower,win_rate_ci95_upper
corner,bottom4_least,281,7,251,137.1103202846975,0.03861243325220762,2.2348754448398576,0.02491103202846975,0.6227758007117438,0.012118204189761197,0.05051824941696326
edge,rank05_12,3936,175,901,138.27845528455285,0.03948778343414444,8.297510162601625,0.04446138211382114,1.1115345528455285,0.03845411474267884,0.051356976012889
edge,rank13_21,3370,133,900,141.93560830860534,0.04043042659621085,16.905044510385757,0.03946587537091988,0.9866468842729971,0.03339953401663139,0.04658094583526289
corner,rank13_21,1787,64,851,141.30218242865138,0.04037036114258263,16.41130386121992,0.03581421376608842,0.8953553441522105,0.02814599284988281,0.0454738455625663
edge,bottom4_least,2303,89,901,135.33087277464176,0.03865153480148926,2.5115067303517153,0.03864524533217542,0.9661311333043855,0.03151053329125373,0.04731649581618016
interior,rank05_12,2080,81,882,138.7221153846154,0.039542176071724534,8.53173076923077,0.03894230769230769,0.9735576923076923,0.03144269298539676,0.04814179657291569
interior,rank13_21,2627,104,894,141.65473924628853,0.04046459108039312,17.285496764370002,0.0395888846593072,0.9897221164826799,0.03277986911402659,0.047742451267702
center,rank13_21,325,14,325,142.10153846153847,0.04064412162025288,18.913846153846155,0.043076923076923075,1.0769230769230769,0.025830768378534208,0.07099844207104043
interior,bottom4_least,1020,44,723,135.46470588235294,0.038711299018659294,2.5470588235294116,0.043137254901960784,1.0784313725490196,0.03228925228002606,0.05741356062079275
edge,top4_most,1203,49,817,144.5860349127182,0.04127523458599091,23.347464671654198,0.040731504571903575,1.0182876142975894,0.030945837748696615,0.05344093739591264
corner,top4_most,353,11,320,143.3342776203966,0.041161679957503,23.288951841359772,0.031161473087818695,0.7790368271954674,0.017487524490918074,0.05492967418912362
interior,top4_most,1481,55,835,145.02903443619175,0.04132206767912852,23.60027008777853,0.03713706954760297,0.9284267386900743,0.02864208628550839,0.04802701407158322
center,top4_most,567,21,567,145.06701940035273,0.04135943754311155,23.693121693121693,0.037037037037037035,0.9259259259259258,0.02435016630438933,0.05595489583212465
corner,rank05_12,1183,54,787,138.9797125950972,0.03963172641033824,9.101437024513947,0.04564666103127642,1.1411665257819104,0.03515217379988222,0.05908236611231927
center,rank05_12,9,0,9,143.77777777777777,0.03986284470854226,10.666666666666666,0.0,0.0,0.0,0.2991450484195441
