geometry,congestion_bucket,observations,wins,rounds,mean_miners,mean_miner_share,mean_rank,win_rate,lift_vs_uniform,win_rate_ci95_lower,win_rate_ci95_upper
corner,q1_least,311,7,269,137.2057877813505,0.038651338604184446,2.620578778135048,0.022508038585209004,0.5627009646302251,0.010944754700205804,0.045723318454845376
edge,q2,2350,121,828,138.36893617021278,0.039433280094034344,7.748936170212766,0.05148936170212766,1.2872340425531914,0.043263677932159655,0.061178980216900214
edge,q3,1910,71,805,140.47748691099477,0.03998342755949424,12.682722513089006,0.03717277486910995,0.9293193717277487,0.029575181216605444,0.04662834031780702
edge,q5_most,1560,66,817,144.40384615384616,0.0411324172523457,22.444871794871794,0.04230769230769231,1.0576923076923077,0.033392415919482735,0.05347154209524678
corner,q5_most,368,10,313,143.78532608695653,0.041095375049743095,22.622282608695652,0.02717391304347826,0.6793478260869565,0.014826018387794924,0.049291250558782466
edge,q1_least,2600,94,844,135.60192307692307,0.03872618279589634,3.0096153846153846,0.036153846153846154,0.9038461538461539,0.02963553286782964,0.04404078800447916
interior,q2,1239,41,714,138.69249394673125,0.039446225353277166,7.626311541565779,0.033091202582728005,0.8272800645682001,0.02448554299929889,0.044583169032682446
interior,q4,1439,56,739,142.02849200833913,0.0405328298087249,18.00486448922863,0.03891591382904795,0.9728978457261988,0.030089380340529333,0.050197651968188144
interior,q3,1247,59,718,140.41459502806737,0.0399964415237945,12.789895749799518,0.04731355252606255,1.1828388131515637,0.03685632797069677,0.06055126750152835
center,q4,184,7,184,141.7173913043478,0.04057525766619245,18.402173913043477,0.03804347826086957,0.9510869565217391,0.0185483447107941,0.07643313026659554
interior,q1_least,1062,43,707,136.1563088512241,0.03878823439016038,2.8992467043314503,0.04048964218455744,1.012241054613936,0.030197353550046612,0.05409422478665993
corner,q2,675,30,525,138.46074074074073,0.0394879932182939,8.005925925925926,0.044444444444444446,1.1111111111111112,0.03130702214126856,0.06273770360603864
edge,q4,1708,71,786,142.42330210772835,0.040508311628315107,17.64344262295082,0.04156908665105386,1.0392271662763466,0.03308658552253034,0.05210907209471527
interior,q5_most,1765,66,819,144.6373937677054,0.04123764447069883,23.05042492917847,0.037393767705382434,0.9348441926345609,0.029499997232622893,0.047296856517775474
center,q5_most,640,21,640,145.0125,0.04127159381610869,23.2609375,0.0328125,0.8203125,0.021559988437356632,0.04963992917071509
corner,q3,1069,50,671,140.17399438727782,0.04002433899945185,12.99064546304958,0.04677268475210477,1.1693171188026192,0.03565675111230048,0.061134305913814434
corner,q4,953,30,632,142.1762854144806,0.04050489478096659,17.681007345225602,0.03147953830010493,0.7869884575026231,0.02213815659786548,0.044582885046147984
center,q3,18,1,18,140.83333333333334,0.040128774744733836,13.722222222222221,0.05555555555555555,1.3888888888888888,0.009875190978303097,0.25757300781872594
center,q2,2,0,2,144.0,0.03982456696837175,10.5,0.0,0.0,0.0,0.6576197724933469
