geometry,rank_group,observations,wins,rounds,mean_miners,mean_miner_share,mean_rank,win_rate,lift_vs_uniform,win_rate_ci95_lower,win_rate_ci95_upper
corner,bottom4_least,279,7,249,137.13978494623655,0.03861015684486499,2.2222222222222223,0.025089605734767026,0.6272401433691757,0.01220544542559212,0.05087391675519987
edge,rank05_12,3679,165,844,138.53003533568904,0.039492328638230885,8.309323185648275,0.04484914378907312,1.121228594726828,0.03862254866131375,0.052025246676472965
edge,rank13_21,3192,127,843,142.1140350877193,0.04043069193158268,16.913847117794486,0.039786967418546364,0.994674185463659,0.03354104412798868,0.04713925936736707
corner,rank13_21,1672,59,797,141.48325358851676,0.04036474445111669,16.391746411483254,0.035287081339712915,0.8821770334928228,0.027454709482080543,0.045249935804851975
edge,bottom4_least,2167,85,844,135.47761882787265,0.03866545859849744,2.508075680664513,0.03922473465620674,0.9806183664051684,0.03183321132724727,0.048247007389016425
interior,rank05_12,1947,75,828,138.89984591679507,0.039544897597118905,8.524396507447355,0.03852080123266564,0.9630200308166409,0.030841364887935742,0.048017661879771474
interior,rank13_21,2433,95,837,141.85532264693794,0.040462842035052335,17.281134401972874,0.03904644471845458,0.9761611179613645,0.03204795806731953,0.04749823404092841
center,rank13_21,299,11,299,142.30100334448161,0.04065709422851155,19.03344481605351,0.03678929765886288,0.919732441471572,0.020664596110536445,0.06466539444400744
interior,bottom4_least,930,42,670,135.98602150537636,0.038749115947977954,2.564516129032258,0.04516129032258064,1.129032258064516,0.03358290384711102,0.060481734203575985
edge,top4_most,1090,46,760,144.6908256880734,0.04123330533500862,23.31559633027523,0.04220183486238532,1.0550458715596331,0.03178715153918668,0.05583199842796113
corner,top4_most,305,9,280,143.75737704918032,0.041116867373656225,23.262295081967213,0.029508196721311476,0.7377049180327869,0.015600546502992054,0.055120071460980025
interior,top4_most,1442,53,800,145.04854368932038,0.04131555976163572,23.608183079056865,0.036754507628294034,0.9188626907073508,0.028208864888571543,0.04776174596269476
center,top4_most,539,18,539,145.2504638218924,0.041346112336878155,23.71799628942486,0.03339517625231911,0.8348794063079777,0.0212267042146866,0.052167577252407726
corner,rank05_12,1120,52,747,139.03303571428572,0.039627242707393574,9.070535714285715,0.04642857142857143,1.1607142857142858,0.0355799433059533,0.060377950019905875
center,rank05_12,6,0,6,144.83333333333334,0.039934801388107934,11.0,0.0,0.0,2.7755575615628914e-17,0.3903342879021653
