candidate,split,exclusion,observations,wins,rounds,win_rate,lift_vs_uniform
q4,all,none,4568,177,899,0.038747810858143605,0.9686952714535901
corner_q3_q4,all,none,2161,85,875,0.03933364183248496,0.9833410458121239
corner_rank13_21,all,none,1787,64,851,0.03581421376608842,0.8953553441522105
q4,development,none,2270,87,449,0.03832599118942731,0.9581497797356827
corner_q3_q4,development,none,1175,39,445,0.033191489361702124,0.8297872340425531
corner_rank13_21,development,none,990,32,434,0.03232323232323232,0.8080808080808081
q4,validation,none,1144,41,225,0.03583916083916084,0.8959790209790209
corner_q3_q4,validation,none,583,26,225,0.044596912521440824,1.1149228130360205
corner_rank13_21,validation,none,493,21,223,0.04259634888438134,1.0649087221095335
q4,confirmation,none,1154,49,225,0.04246100519930676,1.0615251299826691
corner_q3_q4,confirmation,none,403,20,205,0.04962779156327544,1.240694789081886
corner_rank13_21,confirmation,none,304,11,194,0.03618421052631579,0.9046052631578948
q4,all,exclude_square_20,4356,170,898,0.03902662993572085,0.9756657483930212
corner_q3_q4,all,exclude_square_20,1617,62,843,0.0383426097711812,0.95856524427953
corner_rank13_21,all,exclude_square_20,1324,46,805,0.03474320241691843,0.8685800604229608
q4,development,exclude_square_20,2104,83,448,0.03944866920152091,0.9862167300380227
corner_q3_q4,development,exclude_square_20,858,29,439,0.0337995337995338,0.844988344988345
corner_rank13_21,development,exclude_square_20,696,22,421,0.031609195402298854,0.7902298850574713
q4,validation,exclude_square_20,1129,41,225,0.03631532329495128,0.907883082373782
corner_q3_q4,validation,exclude_square_20,487,20,223,0.04106776180698152,1.0266940451745379
corner_rank13_21,validation,exclude_square_20,416,16,220,0.038461538461538464,0.9615384615384616
q4,confirmation,exclude_square_20,1123,46,225,0.04096170970614425,1.0240427426536063
corner_q3_q4,confirmation,exclude_square_20,272,13,181,0.04779411764705882,1.1948529411764706
corner_rank13_21,confirmation,exclude_square_20,212,8,164,0.03773584905660377,0.9433962264150942
