candidate,split,exclusion,observations,wins,rounds,win_rate,lift_vs_uniform
q4,development,none,2270,87,449,0.03832599118942731,0.9581497797356827
corner_q3_q4,development,none,1175,39,445,0.033191489361702124,0.8297872340425531
corner_rank13_21,development,none,990,32,434,0.03232323232323232,0.8080808080808081
avoid_neighbor_q5,development,none,8923,351,450,0.039336546004706936,0.9834136501176733
q4,validation,none,1144,41,225,0.03583916083916084,0.8959790209790209
corner_q3_q4,validation,none,583,26,225,0.044596912521440824,1.1149228130360205
corner_rank13_21,validation,none,493,21,223,0.04259634888438134,1.0649087221095335
avoid_neighbor_q5,validation,none,4444,174,225,0.03915391539153915,0.9788478847884788
q4,confirmation,none,1154,49,225,0.04246100519930676,1.0615251299826691
corner_q3_q4,confirmation,none,403,20,205,0.04962779156327544,1.240694789081886
corner_rank13_21,confirmation,none,304,11,194,0.03618421052631579,0.9046052631578948
avoid_neighbor_q5,confirmation,none,4494,179,226,0.03983088562527815,0.9957721406319537
