candidate,split,exclusion,observations,wins,rounds,win_rate,lift_vs_uniform,round_sequence_min,round_sequence_max
q4,decile_01,none,438,19,91,0.04337899543378995,1.0844748858447488,0,90
corner_q3_q4,decile_01,none,210,8,89,0.0380952380952381,0.9523809523809524,0,90
corner_rank13_21,decile_01,none,186,8,87,0.043010752688172046,1.0752688172043012,0,90
avoid_neighbor_q5,decile_01,none,1807,73,91,0.040398450470392915,1.0099612617598228,0,90
q4,decile_02,none,465,19,91,0.04086021505376344,1.021505376344086,91,181
corner_q3_q4,decile_02,none,259,7,91,0.02702702702702703,0.6756756756756757,91,181
corner_rank13_21,decile_02,none,237,7,89,0.029535864978902954,0.7383966244725738,91,181
avoid_neighbor_q5,decile_02,none,1806,73,91,0.040420819490586936,1.0105204872646734,91,181
q4,decile_03,none,454,17,90,0.037444933920704845,0.9361233480176211,182,272
corner_q3_q4,decile_03,none,247,8,91,0.032388663967611336,0.8097165991902834,182,272
corner_rank13_21,decile_03,none,190,6,90,0.031578947368421054,0.7894736842105263,182,272
avoid_neighbor_q5,decile_03,none,1807,68,91,0.03763143331488655,0.9407858328721638,182,272
q4,decile_04,none,474,15,91,0.03164556962025317,0.7911392405063291,273,363
corner_q3_q4,decile_04,none,286,11,91,0.038461538461538464,0.9615384615384616,273,363
corner_rank13_21,decile_04,none,239,7,91,0.029288702928870293,0.7322175732217573,273,363
avoid_neighbor_q5,decile_04,none,1796,73,91,0.04064587973273942,1.0161469933184855,273,363
q4,decile_05,none,467,17,91,0.03640256959314775,0.9100642398286937,364,454
corner_q3_q4,decile_05,none,182,5,88,0.027472527472527472,0.6868131868131868,364,454
corner_rank13_21,decile_05,none,145,4,82,0.027586206896551724,0.689655172413793,364,454
avoid_neighbor_q5,decile_05,none,1810,68,91,0.03756906077348066,0.9392265193370165,364,454
q4,decile_06,none,464,20,91,0.04310344827586207,1.0775862068965518,455,545
corner_q3_q4,decile_06,none,198,11,91,0.05555555555555555,1.3888888888888888,455,545
corner_rank13_21,decile_06,none,161,10,89,0.062111801242236024,1.5527950310559007,455,545
avoid_neighbor_q5,decile_06,none,1800,76,91,0.042222222222222223,1.0555555555555556,455,545
q4,decile_07,none,456,14,91,0.03070175438596491,0.7675438596491228,546,636
corner_q3_q4,decile_07,none,265,9,91,0.033962264150943396,0.8490566037735848,546,636
corner_rank13_21,decile_07,none,230,7,91,0.030434782608695653,0.7608695652173914,546,636
avoid_neighbor_q5,decile_07,none,1795,66,91,0.03676880222841226,0.9192200557103064,546,636
q4,decile_08,none,457,18,90,0.03938730853391685,0.9846827133479212,637,727
corner_q3_q4,decile_08,none,253,12,90,0.04743083003952569,1.185770750988142,637,727
corner_rank13_21,decile_08,none,210,7,90,0.03333333333333333,0.8333333333333333,637,727
avoid_neighbor_q5,decile_08,none,1800,67,91,0.03722222222222222,0.9305555555555555,637,727
q4,decile_09,none,474,20,91,0.04219409282700422,1.0548523206751055,728,818
corner_q3_q4,decile_09,none,151,10,84,0.06622516556291391,1.6556291390728477,728,818
corner_rank13_21,decile_09,none,111,6,80,0.05405405405405406,1.3513513513513513,728,818
avoid_neighbor_q5,decile_09,none,1810,73,91,0.04033149171270718,1.0082872928176796,728,818
q4,decile_10,none,419,18,82,0.04295942720763723,1.0739856801909307,819,900
corner_q3_q4,decile_10,none,110,4,69,0.03636363636363636,0.9090909090909091,819,900
corner_rank13_21,decile_10,none,78,2,62,0.02564102564102564,0.641025641025641,819,900
avoid_neighbor_q5,decile_10,none,1630,67,82,0.041104294478527606,1.02760736196319,819,900
