square_index,split,observations,wins,rounds,mean_miners,mean_rank,win_rate,lift_vs_uniform
0,confirmation,79,5,79,139.60759493670886,12.835443037974683,0.06329113924050633,1.5822784810126582
0,development,338,7,338,143.49704142011834,14.698224852071005,0.020710059171597635,0.5177514792899408
0,validation,173,6,173,138.76300578034682,13.670520231213873,0.03468208092485549,0.8670520231213872
4,confirmation,28,0,28,132.82142857142858,12.5,0.0,0.0
4,development,184,7,184,141.91847826086956,12.625,0.03804347826086957,0.9510869565217391
4,validation,172,9,172,138.66860465116278,14.709302325581396,0.05232558139534884,1.308139534883721
20,confirmation,117,6,117,140.13675213675214,14.333333333333334,0.05128205128205128,1.282051282051282
20,development,286,9,286,142.75874125874125,16.356643356643357,0.03146853146853147,0.7867132867132868
20,validation,109,7,109,138.24770642201835,14.422018348623853,0.06422018348623854,1.6055045871559634
24,confirmation,133,8,133,139.88721804511277,16.56390977443609,0.06015037593984962,1.5037593984962405
24,development,286,14,286,143.17832167832168,17.206293706293707,0.04895104895104895,1.2237762237762237
24,validation,117,2,117,139.07692307692307,18.256410256410255,0.017094017094017096,0.4273504273504274
