candidate,split,exclusion,observations,wins,rounds,win_rate,lift_vs_uniform
q4,all,none,4284,164,842,0.03828197945845005,0.9570494864612512
corner_q3_q4,all,none,2022,80,818,0.03956478733926805,0.9891196834817012
corner_rank13_21,all,none,1672,59,797,0.035287081339712915,0.8821770334928228
q4,development,none,2136,82,421,0.03838951310861423,0.9597378277153557
corner_q3_q4,development,none,1094,37,417,0.033820840950639856,0.8455210237659964
corner_rank13_21,development,none,922,30,409,0.03253796095444685,0.8134490238611713
q4,validation,none,1072,35,211,0.03264925373134328,0.816231343283582
corner_q3_q4,validation,none,571,24,211,0.04203152364273205,1.0507880910683012
corner_rank13_21,validation,none,481,18,209,0.037422037422037424,0.9355509355509356
q4,confirmation,none,1076,47,210,0.04368029739776952,1.092007434944238
corner_q3_q4,confirmation,none,357,19,190,0.05322128851540616,1.330532212885154
corner_rank13_21,confirmation,none,269,11,179,0.040892193308550186,1.0223048327137547
q4,all,exclude_square_20,4090,157,841,0.038386308068459656,0.9596577017114913
corner_q3_q4,all,exclude_square_20,1510,58,786,0.038410596026490065,0.9602649006622516
corner_rank13_21,all,exclude_square_20,1241,42,752,0.03384367445608381,0.8460918614020951
q4,development,exclude_square_20,1987,78,420,0.03925515853044791,0.9813789632611978
corner_q3_q4,development,exclude_square_20,808,28,410,0.034653465346534656,0.8663366336633664
corner_rank13_21,development,exclude_square_20,659,21,397,0.03186646433990895,0.7966616084977238
q4,validation,exclude_square_20,1055,35,211,0.03317535545023697,0.8293838862559242
corner_q3_q4,validation,exclude_square_20,462,17,210,0.0367965367965368,0.91991341991342
corner_rank13_21,validation,exclude_square_20,393,13,206,0.03307888040712468,0.826972010178117
q4,confirmation,exclude_square_20,1048,44,210,0.04198473282442748,1.049618320610687
corner_q3_q4,confirmation,exclude_square_20,240,13,166,0.05416666666666667,1.3541666666666667
corner_rank13_21,confirmation,exclude_square_20,189,8,149,0.042328042328042326,1.0582010582010581
