candidate,split,exclusion,observations,wins,rounds,win_rate,lift_vs_uniform
q4,development,none,2136,82,421,0.03838951310861423,0.9597378277153557
corner_q3_q4,development,none,1094,37,417,0.033820840950639856,0.8455210237659964
corner_rank13_21,development,none,922,30,409,0.03253796095444685,0.8134490238611713
avoid_neighbor_q5,development,none,8362,325,422,0.038866299928246834,0.9716574982061709
q4,validation,none,1072,35,211,0.03264925373134328,0.816231343283582
corner_q3_q4,validation,none,571,24,211,0.04203152364273205,1.0507880910683012
corner_rank13_21,validation,none,481,18,209,0.037422037422037424,0.9355509355509356
avoid_neighbor_q5,validation,none,4163,164,211,0.03939466730723036,0.9848666826807589
q4,confirmation,none,1076,47,210,0.04368029739776952,1.092007434944238
corner_q3_q4,confirmation,none,357,19,190,0.05322128851540616,1.330532212885154
corner_rank13_21,confirmation,none,269,11,179,0.040892193308550186,1.0223048327137547
avoid_neighbor_q5,confirmation,none,4197,168,211,0.040028591851322376,1.0007147962830594
