square_index,board_row,board_column,wins,win_rate,win_rate_lift_vs_uniform,mean_miners,mean_miner_share
0,0,0,21,0.04805491990846682,1.2013729977116705,138.7116704805492,0.04006615954242696
1,0,1,22,0.05034324942791762,1.2585812356979404,134.48054919908466,0.03886938953230039
2,0,2,20,0.04576659038901602,1.1441647597254003,144.05263157894737,0.041609963382682205
3,0,3,12,0.02745995423340961,0.6864988558352402,138.33867276887872,0.039960552375125455
4,0,4,25,0.057208237986270026,1.4302059496567505,139.20823798627003,0.040232814187347296
5,1,0,19,0.043478260869565216,1.0869565217391304,138.94508009153319,0.040144145584639676
6,1,1,9,0.020594965675057208,0.5148741418764302,139.116704805492,0.04019118756418361
7,1,2,15,0.034324942791762014,0.8581235697940504,135.5720823798627,0.03916024765624616
8,1,3,24,0.05491990846681922,1.3729977116704803,140.79633867276888,0.04068424976673071
9,1,4,10,0.02288329519450801,0.5720823798627002,136.04805491990848,0.03932045300154865
10,2,0,20,0.04576659038901602,1.1441647597254003,142.0228832951945,0.04105719542382833
11,2,1,16,0.036613272311212815,0.9153318077803203,142.35697940503434,0.041131799599554944
12,2,2,21,0.04805491990846682,1.2013729977116705,141.70938215102976,0.04095306606021582
13,2,3,13,0.029748283752860413,0.7437070938215103,132.37528604118992,0.038225779736101084
14,2,4,19,0.043478260869565216,1.0869565217391304,137.33638443935928,0.039658731995394395
15,3,0,11,0.02517162471395881,0.6292906178489702,138.58810068649885,0.040040596755158746
16,3,1,18,0.041189931350114416,1.0297482837528604,139.37070938215103,0.040259021403211616
17,3,2,22,0.05034324942791762,1.2585812356979404,137.97025171624713,0.03984881525329303
18,3,3,14,0.032036613272311214,0.8009153318077803,137.2173913043478,0.03961864964164437
19,3,4,20,0.04576659038901602,1.1441647597254003,134.7162471395881,0.03891034782157222
20,4,0,29,0.06636155606407322,1.6590389016018305,139.66819221967964,0.04033202141784955
21,4,1,12,0.02745995423340961,0.6864988558352402,134.84897025171625,0.03896236854089107
22,4,2,19,0.043478260869565216,1.0869565217391304,142.55148741418765,0.041162006002679455
23,4,3,13,0.029748283752860413,0.7437070938215103,133.46224256292905,0.03856701509167224
24,4,4,13,0.029748283752860413,0.7437070938215103,141.92906178489702,0.041033422663700865
