square_index,split,observations,wins,rounds,mean_miners,mean_rank,win_rate,lift_vs_uniform
0,confirmation,87,4,87,150.5977011494253,13.344827586206897,0.04597701149425287,1.1494252873563218
0,development,166,7,166,135.0120481927711,13.710843373493976,0.04216867469879518,1.0542168674698795
0,validation,77,5,77,137.5194805194805,12.35064935064935,0.06493506493506493,1.6233766233766231
4,confirmation,55,1,55,149.5818181818182,12.818181818181818,0.01818181818181818,0.45454545454545453
4,development,188,16,188,134.08510638297872,15.335106382978724,0.0851063829787234,2.127659574468085
4,validation,82,3,82,138.23170731707316,15.5,0.036585365853658534,0.9146341463414633
20,confirmation,66,6,66,151.4848484848485,18.166666666666668,0.09090909090909091,2.272727272727273
20,development,111,10,111,131.0810810810811,15.882882882882884,0.09009009009009009,2.252252252252252
20,validation,79,4,79,136.08860759493672,14.860759493670885,0.05063291139240506,1.2658227848101264
24,confirmation,78,0,78,151.17948717948718,16.576923076923077,0.0,0.0
24,development,26,2,26,130.07692307692307,19.76923076923077,0.07692307692307693,1.9230769230769231
24,validation,57,2,57,143.87719298245614,18.105263157894736,0.03508771929824561,0.8771929824561403
