candidate,split,exclusion,observations,wins,rounds,win_rate,lift_vs_uniform
q4,all,none,2199,104,436,0.04729422464756708,1.182355616189177
corner_q3_q4,all,none,1072,60,431,0.055970149253731345,1.3992537313432836
corner_rank13_21,all,none,887,51,424,0.05749718151071026,1.4374295377677564
q4,development,none,1080,51,217,0.04722222222222222,1.1805555555555556
corner_q3_q4,development,none,491,35,214,0.07128309572301425,1.7820773930753562
corner_rank13_21,development,none,424,31,210,0.07311320754716981,1.8278301886792452
q4,validation,none,554,21,109,0.03790613718411552,0.947653429602888
corner_q3_q4,validation,none,295,14,109,0.04745762711864407,1.1864406779661016
corner_rank13_21,validation,none,233,8,107,0.034334763948497854,0.8583690987124464
q4,confirmation,none,565,32,110,0.05663716814159292,1.415929203539823
corner_q3_q4,confirmation,none,286,11,108,0.038461538461538464,0.9615384615384616
corner_rank13_21,confirmation,none,230,12,107,0.05217391304347826,1.3043478260869563
q4,all,exclude_square_20,2076,94,436,0.04527938342967245,1.1319845857418112
corner_q3_q4,all,exclude_square_20,816,40,427,0.049019607843137254,1.2254901960784312
corner_rank13_21,all,exclude_square_20,647,34,401,0.05255023183925812,1.313755795981453
q4,development,exclude_square_20,1034,47,217,0.045454545454545456,1.1363636363636365
corner_q3_q4,development,exclude_square_20,380,25,214,0.06578947368421052,1.644736842105263
corner_rank13_21,development,exclude_square_20,319,22,199,0.06896551724137931,1.7241379310344827
q4,validation,exclude_square_20,530,20,109,0.03773584905660377,0.9433962264150942
corner_q3_q4,validation,exclude_square_20,216,10,107,0.046296296296296294,1.1574074074074072
corner_rank13_21,validation,exclude_square_20,169,6,104,0.03550295857988166,0.8875739644970414
q4,confirmation,exclude_square_20,512,27,110,0.052734375,1.318359375
corner_q3_q4,confirmation,exclude_square_20,220,5,106,0.022727272727272728,0.5681818181818182
corner_rank13_21,confirmation,exclude_square_20,159,6,98,0.03773584905660377,0.9433962264150942
