candidate,split,exclusion,observations,wins,rounds,win_rate,lift_vs_uniform
q4,development,none,1080,51,217,0.04722222222222222,1.1805555555555556
corner_q3_q4,development,none,491,35,214,0.07128309572301425,1.7820773930753562
corner_rank13_21,development,none,424,31,210,0.07311320754716981,1.8278301886792452
avoid_neighbor_q5,development,none,4317,178,218,0.04123233727125319,1.0308084317813297
q4,validation,none,554,21,109,0.03790613718411552,0.947653429602888
corner_q3_q4,validation,none,295,14,109,0.04745762711864407,1.1864406779661016
corner_rank13_21,validation,none,233,8,107,0.034334763948497854,0.8583690987124464
avoid_neighbor_q5,validation,none,2157,91,109,0.04218822438572091,1.0547056096430227
q4,confirmation,none,565,32,110,0.05663716814159292,1.415929203539823
corner_q3_q4,confirmation,none,286,11,108,0.038461538461538464,0.9615384615384616
corner_rank13_21,confirmation,none,230,12,107,0.05217391304347826,1.3043478260869563
avoid_neighbor_q5,confirmation,none,2190,95,110,0.04337899543378995,1.0844748858447488
