candidate,split,exclusion,observations,wins,rounds,win_rate,lift_vs_uniform,round_sequence_min,round_sequence_max
q4,decile_01,none,215,11,44,0.05116279069767442,1.2790697674418605,0,43
corner_q3_q4,decile_01,none,73,6,43,0.0821917808219178,2.054794520547945,0,43
corner_rank13_21,decile_01,none,71,6,43,0.08450704225352113,2.112676056338028,0,43
avoid_neighbor_q5,decile_01,none,865,42,44,0.048554913294797684,1.2138728323699421,0,43
q4,decile_02,none,205,6,43,0.02926829268292683,0.7317073170731707,44,87
corner_q3_q4,decile_02,none,96,2,42,0.020833333333333332,0.5208333333333333,44,87
corner_rank13_21,decile_02,none,95,2,44,0.021052631578947368,0.5263157894736842,44,87
avoid_neighbor_q5,decile_02,none,869,34,44,0.039125431530494824,0.9781357882623706,44,87
q4,decile_03,none,231,15,44,0.06493506493506493,1.6233766233766231,88,131
corner_q3_q4,decile_03,none,129,13,44,0.10077519379844961,2.5193798449612403,88,131
corner_rank13_21,decile_03,none,118,12,44,0.1016949152542373,2.5423728813559325,88,131
avoid_neighbor_q5,decile_03,none,872,34,44,0.0389908256880734,0.9747706422018348,88,131
q4,decile_04,none,219,8,44,0.0365296803652968,0.91324200913242,132,175
corner_q3_q4,decile_04,none,92,6,43,0.06521739130434782,1.6304347826086956,132,175
corner_rank13_21,decile_04,none,66,5,39,0.07575757575757576,1.893939393939394,132,175
avoid_neighbor_q5,decile_04,none,876,34,44,0.03881278538812785,0.9703196347031963,132,175
q4,decile_05,none,217,11,44,0.05069124423963134,1.2672811059907834,176,219
corner_q3_q4,decile_05,none,105,8,44,0.0761904761904762,1.9047619047619049,176,219
corner_rank13_21,decile_05,none,77,6,42,0.07792207792207792,1.948051948051948,176,219
avoid_neighbor_q5,decile_05,none,875,36,44,0.04114285714285714,1.0285714285714285,176,219
q4,decile_06,none,224,13,44,0.05803571428571429,1.4508928571428572,220,263
corner_q3_q4,decile_06,none,117,9,44,0.07692307692307693,1.9230769230769231,220,263
corner_rank13_21,decile_06,none,97,5,43,0.05154639175257732,1.2886597938144329,220,263
avoid_neighbor_q5,decile_06,none,874,38,44,0.043478260869565216,1.0869565217391304,220,263
q4,decile_07,none,226,4,44,0.017699115044247787,0.44247787610619466,264,307
corner_q3_q4,decile_07,none,119,4,44,0.03361344537815126,0.8403361344537814,264,307
corner_rank13_21,decile_07,none,91,3,43,0.03296703296703297,0.8241758241758241,264,307
avoid_neighbor_q5,decile_07,none,866,36,44,0.04157043879907621,1.0392609699769053,264,307
q4,decile_08,none,226,13,44,0.05752212389380531,1.4380530973451326,308,351
corner_q3_q4,decile_08,none,134,5,44,0.03731343283582089,0.9328358208955223,308,351
corner_rank13_21,decile_08,none,112,5,44,0.044642857142857144,1.1160714285714286,308,351
avoid_neighbor_q5,decile_08,none,874,38,44,0.043478260869565216,1.0869565217391304,308,351
q4,decile_09,none,219,11,44,0.0502283105022831,1.2557077625570776,352,395
corner_q3_q4,decile_09,none,104,1,44,0.009615384615384616,0.2403846153846154,352,395
corner_rank13_21,decile_09,none,93,3,44,0.03225806451612903,0.8064516129032258,352,395
avoid_neighbor_q5,decile_09,none,878,36,44,0.04100227790432802,1.0250569476082005,352,395
q4,decile_10,none,217,12,41,0.055299539170506916,1.3824884792626728,396,436
corner_q3_q4,decile_10,none,103,6,39,0.05825242718446602,1.4563106796116505,396,436
corner_rank13_21,decile_10,none,67,4,38,0.05970149253731343,1.4925373134328357,396,436
avoid_neighbor_q5,decile_10,none,815,36,41,0.044171779141104296,1.1042944785276074,396,436
